央视直播,#genre#
CCTV-1,http://117.148.187.58/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229818/index.m3u8#http://117.148.187.45/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230713/01.m3u8?fmt=ts2hls
CCTV-2,http://101.71.255.229:6610/zjhs/2/10089/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.134.176.163/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230716/01.m3u8?fmt=ts2hls
CCTV-3,http://117.148.187.42/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230740/index.m3u8#http://101.71.255.229:6610/zjhs/2/10128/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-4,http://117.148.187.114/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229749/01.m3u8?fmt=ts2hls#http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-5,http://117.148.187.78/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228965/01.m3u8?fmt=ts2hls#http://39.134.176.161/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229791/01.m3u8?fmt=ts2hls#http://101.71.255.229:6610/zjhs/2/10130/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-5+,http://117.148.187.14/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229684/01.m3u8?fmt=ts2hls
CCTV-6,http://117.148.187.49/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230685/index.m3u8#http://101.71.255.229:6610/zjhs/2/10131/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-7,http://101.71.255.229:6610/zjhs/2/10091/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-8,http://101.71.255.229:6610/zjhs/2/10132/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://117.148.187.70/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230737/index.m3u8
CCTV-9,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8
CCTV-10,http://101.71.255.229:6610/zjhs/2/10084/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-11,http://101.71.255.229:6610/zjhs/2/10085/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-12,http://101.71.255.229:6610/zjhs/2/10086/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-13,http://101.71.255.229:6610/zjhs/2/10155/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://117.148.187.46/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230877/01.m3u8?fmt=ts2hls
CCTV-14,http://101.71.255.229:6610/zjhs/2/10087/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://117.148.187.43/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230701/01.m3u8?fmt=ts2hls
CCTV-15,http://101.71.255.229:6610/zjhs/2/10088/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://117.148.187.59/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230658/01.m3u8?fmt=ts2hls
CCTV-17,http://117.148.187.102/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229765/index.m3u8
CGTN,rtsp://183.252.176.54:554/PLTV/88888888/224/3221225990/10000100000000060000000002296713_0.smil
CETC-1,http://hdtv.haust.edu.cn/hls/cetv1hd.m3u8
CCTV第一剧场,http://hdtv.haust.edu.cn/hls/dyjctv.m3u8
CCTV怀旧剧场,http://hdtv.haust.edu.cn/hls/hjjctv.m3u8
CCTV老故事,http://hdtv.haust.edu.cn/hls/hls113.m3u8
CCTV风云足球,http://hdtv.haust.edu.cn/hls/fyzqtv.m3u8
CCTV兵器科技,http://hdtv.haust.edu.cn/hls/gfjstv.m3u8
CCTV女性时尚,http://hdtv.haust.edu.cn/hls/hls44.m3u8
CCTV新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2_hd.m3u8
CHC高清电影,http://hdtv.haust.edu.cn/hls/chchd.m3u8#http://ivi.bupt.edu.cn/hls/chchd.m3u8#http://125.210.152.18:9090/live/CHCGQDY.m3u8
CHC家庭影院,http://hdtv.haust.edu.cn/hls/chctv.m3u8#http://125.210.152.18:9090/live/JTYYHD_H265.m3u8
CHC动作电影,http://hdtv.haust.edu.cn/hls/chcatv.m3u8#http://125.210.152.18:9090/live/DZDYHD_H265.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8#http://125.210.152.18:9090/live/DZDYHD.m3u8

卫视直播,#genre#
湖南卫视,http://117.148.187.49/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230695/01.m3u8?fmt=ts2hls#http://117.148.187.93/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228824/index.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226162/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225516/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225518/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225667/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225555/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225526/index.m3u8
江苏卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil#http://117.148.187.59/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230698/01.m3u8?fmt=ts2hls#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226366/1.m3u8#rtsp://183.252.176.54/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil#http://112.17.40.140/PLTV/88888888/224/3221226140/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225512/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225514/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225634/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225586/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225548/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225513/index.m3u8
浙江卫视,http://117.148.187.49/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230035/index.m3u8#http://39.134.176.156/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228837/index.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226365/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226136/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225520/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225522/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226257/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225644/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225580/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225557/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225511/index.m3u8
安徽卫视,http://117.148.187.40/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230707/01.m3u8?fmt=ts2hls#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226185/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225548/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226942/1.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225654/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225598/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225533/index.m3u8
北京卫视,http://117.148.187.67/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228321/01.m3u8?fmt=ts2hls#http://117.148.187.45/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230704/01.m3u8?fmt=ts2hls#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226367/1.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8#http://39.134.168.91/PLTV/1/224/3221225524/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225526/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225607/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225559/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225539/index.m3u8
天津卫视,http://117.148.187.93/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228818/index.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225594/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226254/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225649/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225599/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225565/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225528/index.m3u8
辽宁卫视,http://117.148.187.45/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230692/01.m3u8?fmt=ts2hls#http://39.134.168.91/PLTV/1/224/3221225590/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/liaoning_2/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226251/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225517/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225636/index.m3u8
江西卫视,http://117.148.187.57/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230667/01.m3u8?fmt=ts2hls#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226557/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225588/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226250/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225594/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225509/index.m3u8
龙江卫视,http://39.134.157.205/PLTV/88888888/224/3221225647/index.m3u8#http://39.134.176.163/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230710/01.m3u8?fmt=ts2hls#http://117.148.187.88/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228827/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226248/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225601/index.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225536/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225538/index.m3u8
山东卫视,http://117.148.187.43/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230652/01.m3u8?fmt=ts2hls#http://117.148.187.67/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228834/index.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226308/1.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225894/1.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226244/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226410/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225540/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225542/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226253/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225646/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225592/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225567/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225536/index.m3u8
东方卫视,http://117.148.187.49/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230689/01.m3u8?fmt=ts2hls#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226364/1.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226142/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225504/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225506/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225651/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225613/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225550/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225515/index.m3u8
云南卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226108/10000100000000060000000002310150_0.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226108/10000100000000060000000002310150_0.smil#http://39.134.168.91/PLTV/1/224/3221225632/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225626/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225853/1.m3u8
四川卫视,http://39.134.157.205/PLTV/88888888/224/3221225620/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226252/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225620/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225532/index.m3u8#http://scgctvshow.sctv.com/scgc/sctv1deu5453w/1.m3u8#http://39.134.168.91/PLTV/1/224/3221225592/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/sichuan_2/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225835/1.m3u8
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8#http://scgctvshow.sctv.com/sdlive/kangba/1.m3u8
河南卫视,http://39.134.168.91/PLTV/1/224/3221225584/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225842/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225842/1.m3u8
广东卫视,http://117.148.187.40/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230661/01.m3u8?fmt=ts2hls#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225878/1.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225528/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225530/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225642/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225602/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225561/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225522/index.m3u8
南方卫视,http://223.110.247.161:6610/gitv/live1/G_NANFANG/G_NANFANG#http://39.134.156.12/PLTV/88888888/224/3221225614/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225620/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225614/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225614/index.m3u8
深圳卫视,http://101.71.255.229:6610/zjhs/2/10045/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://117.148.187.45/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230676/01.m3u8?fmt=ts2hls#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225897/1.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226203/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225532/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225534/index.m3u8#http://39.135.253.153/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225640/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225603/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225552/index.m3u8#http://39.134.157.205/PLTV/88888888/224/3221225524/index.m3u8
